HudongItem1,relation,HudongItem2
士,said to be the same as,史
士,said to be the same as,Sa
淡水河,instance of,河流
北盘江,instance of,河流
燕隼,taxon rank,种
2B,sport,棒球
灯心草属,taxon rank,属
海南杜鹃,taxon rank,种
夏天,country of origin,英国
北盘江,mouth of the watercourse,西江
IRL,language used,英语
乙草胺,instance of,除草剂
炎黄,country,中华人民共和国
灯心草属,parent taxon,灯心草科
夏天,original language of work,英语
北盘江,country,中华人民共和国
IRL,language used,英语
乙草胺,instance of,化合物
燕雀,taxon rank,种
沙芥,taxon rank,种
灯心草属,has fruit type,蒴果
顺电,country,中华人民共和国
胆绿素,instance of,化合物
吕梁山,instance of,山脉
雅砻江,instance of,河流
胆绿素,instance of,杂环化合物
吕梁山,country,中华人民共和国
雅砻江,origin of the watercourse,巴颜喀拉山脉
Delphinium,taxon rank,属
WL,country,美国
湖北山楂,taxon rank,种
Lem,sex or gender,男性
读书人,instance of,专业
石龙坝水电站,instance of,水电站
胆绿素,has part,氮
雅砻江,mouth of the watercourse,长江
Delphinium,parent taxon,毛茛科
湖北山楂,parent taxon,山楂
Lem,country of citizenship,波兰
处理器,subclass of,产品
西黄松,taxon rank,种
大花夏枯草,taxon rank,种
读书人,subclass of,哲学家
椋鸟科,taxon rank,科
石龙坝水电站,country,中华人民共和国
斯特拉顿,country,美国
胆绿素,has part,碳
Delphinium,has fruit type,蓇葖果
日耳曼尼亚志,instance of,图书
柏木,instance of,姓氏
649年,instance of,年
饶州,instance of,州
处理器,use,电子计算机
椋鸟科,parent taxon,雀形目
石龙坝水电站,located in the administrative territorial entity,西山区
雅砻江,continent,亚洲
纠纷,subclass of,事件
柏木,language of work or name,日语
湖北百合,taxon rank,种
饶州,country,中华人民共和国
雅砻江,country,中华人民共和国
Lem,place of death,克拉科夫
湖北百合,parent taxon,百合属
椋鸟科,Code of nomenclature,国际动物命名法规
Lem,cause of death,心血管疾病
夏天,color,彩色
日耳曼尼亚志,author,塔西佗
纠纷,subclass of,相互作用
柏木,different from,柏木
649年,followed by,650年
雅砻江,watershed,长江流域
日耳曼尼亚志,language of work or name,拉丁语
Lem,languages spoken written or signed,英语
俄亥俄河,instance of,河流
柠檬黄,instance of,化合物
Lem,occupation,哲学家
俄亥俄河,mouth of the watercourse,密西西比河
石斛,taxon rank,种
Robin,language of work or name,英语
锥形瓶,subclass of,烧瓶
欧氏距离,instance of,度量
1255年,instance of,年
米线,subclass of,中国面条
加查县,instance of,县
光学仪器,field of work,光学
巴倍虫属,taxon rank,属
Euphoria,taxon rank,属
米线,country,中华人民共和国
葎草,taxon rank,种
狐毛,sex or gender,男性
加查县,country,中华人民共和国
柠檬黄,has part,碳
Robin,writing system,拉丁文字
雪山工程,basin country,澳大利亚
Amazon,instance of,河流
修士,instance of,专业
隋书,instance of,图书
1255年,follows,1254年
米线,country of origin,中华人民共和国
雪山工程,country,澳大利亚
洋流,part of,海洋
袁世凯,sex or gender,男性
隋书,series,二十四史
Robin,family name identical to this given name,Robin
frequency,instance of,标量
上海人,instance of,族群
徙,instance of,族群
主意,subclass of,概念
别名,subclass of,代号
Amazon,mouth of the watercourse,大西洋
洋流,part of,海
袁世凯,country of citizenship,清朝
玉林,sex or gender,男性
蓝翡翠,taxon rank,种
frequency,measured by,赫兹
主意,part of,思维
修士,different from,兄弟
主意,said to be the same as,概念
Amazon,tributary,塔帕若斯河
袁世凯,family name,袁
俄亥俄河,country,美国
巴伐利亚,country,德国
俄亥俄河,located in the administrative territorial entity,俄亥俄州
别名,said to be the same as,称谓
袁世凯,place of death,北京市
巴伐利亚,country,西德
袁世凯,cause of death,尿毒症
玉林,ethnic group,满族
巴伐利亚,capital,慕尼黑
巴伐利亚,located in the administrative territorial entity,德国
巴伐利亚,located in the administrative territorial entity,西德
IRL,shares border with,英国
Amazon,continent,南美洲
Amazon,country,秘鲁
Lem,residence,克拉科夫
Amazon,country,哥伦比亚
IRL,driving side,左
Amazon,country,巴西
亚拉巴马州,shares border with,佛罗里达州
Amazon,country,厄瓜多尔
袁世凯,position held,宰相
亚拉巴马州,shares border with,田纳西州
袁世凯,position held,军机大臣
亚拉巴马州,shares border with,密西西比州
袁世凯,member of political party,共和党
忠县,instance of,县
75,instance of,年
大官湖,instance of,湖泊
袁世凯,ethnic group,汉族
梅克,sex or gender,男性
蓝果树,taxon rank,种
忠县,country,中华人民共和国
卡拉汉,country,美国
米团花,taxon rank,种
红翅绿鸠,taxon rank,种
大官湖,country,中华人民共和国
色胺,instance of,化合物
DDS,instance of,化合物
梅克,country of citizenship,德国
忠县,located in the administrative territorial entity,重庆市
卡拉汉,located in the administrative territorial entity,佛罗里达州
莲属,taxon rank,属
Spirochaeta,taxon rank,属
翠柏属,taxon rank,属
Lome,country,埃塞俄比亚
幌伞枫,taxon rank,种
北京条约,instance of,契约
所有权,subclass of,法律
莲属,parent taxon,莲科
拉贾斯坦邦,continent,亚洲
紫辫鱼,taxon rank,种
吕宋岛,country,菲律宾
北京条约,country,中华人民共和国
莲属,has fruit type,核果
Spirochaeta,Gram staining,革兰氏阴性菌
翠柏属,parent taxon,柏科
拉贾斯坦邦,country,印度
吕宋岛,located in the administrative territorial entity,菲律宾
北京条约,country,俄罗斯
DDS,subclass of,砜
吕宋岛,located in or next to body of water,太平洋
北京条约,located in the administrative territorial entity,北京市
莲属,different from,睡莲属
拉贾斯坦邦,located in the administrative territorial entity,印度
梅克,sport,足球
拉贾斯坦邦,office held by head of government,省长
拉贾斯坦邦,shares border with,旁遮普邦
拉贾斯坦邦,shares border with,哈里亚纳邦
色胺,has part,氮
拉贾斯坦邦,shares border with,北方邦
色胺,has part,碳
拉贾斯坦邦,shares border with,中央邦
巴伐利亚,public holiday,新年
救济,subclass of,外援
地层学,part of,地质学
香椿球针壳,taxon rank,种
普列汉诺夫,sex or gender,男性
裸藻门,taxon rank,亚门
渥丹,taxon rank,种
罗马法,subclass of,法律
Morris,instance of,姓氏
Barclay,instance of,姓氏
1693年,instance of,年
university,part of,高等教育
裸藻门,taxon rank,纲
渥丹,parent taxon,百合属
巴伐利亚,public holiday,圣诞节
麂,taxon rank,属
Morris,language of work or name,英语
Barclay,writing system,拉丁文字
1691年,instance of,年
水母,instance of,俗名
Morris,writing system,拉丁文字
Barclay,different from,Barclay
1693年,follows,1692年
格里,sex or gender,男性
石环,country,中华人民共和国
Morris,different from,莫里斯
1693年,followed by,1694年
老君,instance of,神
格里,country of citizenship,加拿大
1691年,follows,1690年
石环,located in the administrative territorial entity,香港
太政官,country,日本
老君,country,中华人民共和国
咳血,subclass of,痰
偃师县,country,中华人民共和国
地区,country,中华人民共和国
格里,country of citizenship,美国
1691年,followed by,1692年
糖化酶,instance of,酶
格里,given name,Frank
新华社,country,中华人民共和国
鲻科,taxon rank,科
政府财政,has part,政治经济学
格里,place of birth,多伦多
普列汉诺夫,languages spoken written or signed,俄语
瑞,instance of,城市
海派,instance of,文化
豆奶,subclass of,代乳品
闽侯县,instance of,县
新华社,language of work or name,汉语
奥匈帝国,instance of,帝国
政府财政,has part,环境经济学
格里,languages spoken written or signed,英语
普列汉诺夫,occupation,哲学家
粉状叉丝壳,taxon rank,种
瑞,country,美国
闽侯县,country,中华人民共和国
格里,occupation,建筑师
IGS,instance of,疾病
造型艺术,instance of,艺术风格
粉状叉丝壳,parent taxon,白粉菌属
闽侯县,located in the administrative territorial entity,福州市
新华社,headquarters location,北京市
政府财政,has part,政治
波纹鳜,taxon rank,种
丹尼,sex or gender,男性
豆奶,country of origin,中华人民共和国
格里,employer,哥伦比亚大学
格雷厄姆,instance of,城市
柳江,instance of,河流
CST,instance of,时区
丹尼,country of citizenship,西班牙
GUC,country,美国
豆奶,has part,大豆
奥匈帝国,continent,欧洲
普列汉诺夫,occupation,历史学家
格雷厄姆,country,美国
柳江,mouth of the watercourse,黔江
长岛大学,country,美国
brilliant,material used,钻石
御谷,taxon rank,种
丹尼,given name,丹尼尔
奥匈帝国,country,奥匈帝国
三甲胺,instance of,化合物
肚脐,part of,腹
柳江,country,中华人民共和国
御谷,parent taxon,狼尾草属
IGS,drug used for treatment,叶酸
普列汉诺夫,occupation,经济学家
discus,sport,铁饼
梅花参,taxon rank,种
奥匈帝国,capital,布达佩斯
554,instance of,年
cavus,instance of,地形
美感,subclass of,哲学
御谷,this taxon is source of,millet
奥匈帝国,located in or next to body of water,亚得里亚海
巴伐利亚,sister city,山东省
浙贝母,taxon rank,种
cavus,subclass of,组
巴伐利亚,sister city,魁北克
1487年,instance of,年
感知器,instance of,算法
角鲨烯,instance of,化合物
三甲胺,has part,氮
Clifford,language of work or name,英语
集体,subclass of,组织
角鲨烯,found in taxon,智人
554,followed by,555年
三甲胺,has part,碳
丹尼,languages spoken written or signed,西班牙语
奥匈帝国,located in or next to body of water,多瑙河
戈尔登,instance of,城市
Clifford,writing system,拉丁文字
1487年,follows,1486年
角鲨烯,has part,碳
奥匈帝国,located in or next to body of water,莱茵河
巴伐利亚,sister city,圣保罗州
Agent,subclass of,计算机程序
戈尔登,country,美国
蓝马鸡,taxon rank,种
阁下,sex or gender,男性
长柱柳,taxon rank,种
Clifford,family name identical to this given name,Clifford
nana,has quality,女性
巴伐利亚,sister city,广东省
Bulgarian,instance of,语言
IDS,instance of,基因
永光,instance of,年号
阁下,country of citizenship,意大利
长柱柳,parent taxon,柳树
Clifford,different from,Clifford
巴伐利亚,sister city,卡纳塔克邦
Cocos,taxon rank,属
孔宜,sex or gender,男性
nana,opposite of,孙
蝶恋花,instance of,词牌
Haviland,instance of,城市
海南行政区,country,中华人民共和国
IDS,found in taxon,智人
孔宜,family name,孔
奥匈帝国,located in or next to body of water,维斯瓦河
Andersen,writing system,拉丁文字
Haviland,country,美国
碎米莎草,taxon rank,种
Bulgarian,country,保加利亚
Andersen,different from,Andersen
De,language of work or name,西班牙语
Bulgarian,country,乌克兰
少年时代,country of origin,美国
Messenger,country of origin,美国
Bulgarian,country,塞尔维亚
少年时代,original language of work,英语
Messenger,original language of work,英语
Andersen,said to be the same as,Anderson
阁下,native language,法语
Bulgarian,country,希腊
Andersen,said to be the same as,Anderson
Bulgarian,country,土耳其
阁下,languages spoken written or signed,拉丁语
阁下,languages spoken written or signed,法语
Bulgarian,country,阿尔巴尼亚
阁下,occupation,推官
格里,military branch,美国陆军
巴伐利亚,shares border with,捷克
Bulgarian,country,俄罗斯
Bulgarian,located in the administrative territorial entity,巴尔干半岛
丹尼,sport,足球
阁下,position held,president
Messenger,filming location,新泽西州
少年时代,narrative location,得克萨斯州
阁下,religion,天主教
涿郡,instance of,郡
Messenger,color,彩色
阁下,sport,足球
中华豆蟹,taxon rank,种
田间,sex or gender,男性
南洋杉科,taxon rank,科
剪刀股,taxon rank,种
经济法,part of,法律
少年时代,color,彩色
阁下,sport,拳击
永平府,instance of,府
1916年,instance of,年
玉米片,subclass of,菜肴
万县地区,country,中华人民共和国
南洋杉科,parent taxon,松柏目
1916年,instance of,闰年
玉米片,country,美国
寄生蜂,taxon rank,亚目
无为县,instance of,县
秋季,instance of,季节
玉米片,country of origin,美国
寄生蜂,parent taxon,细腰亚目
后人,genre,小说
阁下,sport,田径
无为县,country,中华人民共和国
大米草,taxon rank,种
中山植物园,country,中华人民共和国
秋季,subclass of,季节
1916年,follows,1915年
思贤滘,instance of,流水
诊断,part of,diagnosis
酒花,taxon rank,种
秋季,follows,夏季
1916年,followed by,1917年
后人,country of origin,美国
奥匈帝国,shares border with,瑞士
新庄市,country,日本
银胶菊,taxon rank,种
大叶栎,taxon rank,种
秧青,taxon rank,种
隆肛蛙,taxon rank,种
诊断,has effect,diagnosis
秋季,followed by,冬季
后人,language of work or name,英语
1763年,instance of,年
赫梯,instance of,帝国
椰浆,subclass of,饮料
大叶栎,parent taxon,栎属
酒花,has fruit type,坚果
秋季,opposite of,春季
后人,original language of work,英语
中东铁路,country,俄罗斯
赫梯,instance of,族群
椰浆,has part,coconut
1943年,instance of,年
磁通量,instance of,标量
白细胞介素,subclass of,细胞因子
超氧化物,subclass of,化学物质
榆,instance of,诗
1763年,follows,1762年
中东铁路,country,中华人民共和国
叶笃庄,sex or gender,男性
榆,author,苏轼
1763年,followed by,1764年
酒花,use,农业
奥匈帝国,shares border with,奥斯曼帝国
触媒,instance of,化学反应
东南丘陵,instance of,山脉
磁通量,part of,电磁学
叶笃庄,family name,叶
Gallant,country,美国
馒头,subclass of,食物
磷酸亚铁,instance of,化合物
Griffin,country,美国
beet,use,蔬菜
1943年,follows,1942年
勐腊县,instance of,县
大小,subclass of,武器
CC,subclass of,磁带
祁县,instance of,县
Milo,writing system,拉丁文字
馒头,country of origin,中华人民共和国
1943年,followed by,1944年
勐腊县,country,中华人民共和国
金缕梅,taxon rank,种
大小,subclass of,集合
盖县,country,中华人民共和国
祁县,country,中华人民共和国
深水金线鱼,taxon rank,种
Milo,family name identical to this given name,Milo
澧县,instance of,县
联合国海洋法公约,instance of,条约
中指,subclass of,手指
勐腊县,located in the administrative territorial entity,西双版纳傣族自治州
大小,culture,日本
Milo,different from,Milo
澧县,country,中华人民共和国
委陵菜属,taxon rank,属
中指,part of,手
CC,based on,磁带
贺兰县,instance of,县
电器,subclass of,装置
以色列,instance of,国家
澧县,located in the administrative territorial entity,常德市
杜鹃属,taxon rank,属
大麻槿,taxon rank,种
番茄沙司,subclass of,食物
贺兰县,country,中华人民共和国
电器,subclass of,负载
半城子水库,country,中华人民共和国
Rivet,instance of,姓氏
溴化氢,instance of,化合物
杜鹃属,parent taxon,杜鹃科
大麻槿,parent taxon,木槿属
番茄沙司,country of origin,意大利
乒乓球,country of origin,英格兰
中指,anatomical location,手
尔雅,instance of,百科全书
Rivet,writing system,拉丁文字
溴化氢,instance of,溴化物
Rivet,different from,Rivet
番茄沙司,has part,番茄
以色列,part of,黎凡特
乒乓球,uses,乒乓球拍
澧县,contains administrative territorial entity,复兴厂镇
以色列,continent,亚洲
以色列,country,以色列
以色列,capital,耶路撒冷
以色列,located in or next to body of water,死海
后人,filming location,夏威夷州
以色列,located in or next to body of water,约旦河
后人,color,彩色
以色列,deepest point,死海
农桑辑要,instance of,文学作品
米蛾,taxon rank,种
杓兰属,taxon rank,属
松江省,instance of,省
羹,subclass of,汤
特立尼达和多巴哥,instance of,国家
金成,sex or gender,男性
羹,subclass of,食物
伞花木,taxon rank,种
Diesel,sex or gender,男性
左,subclass of,side
临界密度,instance of,方程
Restriction,subclass of,函数
BHT,instance of,化合物
直隶总督,instance of,职位
松江省,country,中华人民共和国
金成,country of citizenship,美国
羹,country of origin,中华人民共和国
草地螟,taxon rank,种
Diesel,country of citizenship,美国
百脉根,taxon rank,种
下缅甸,country,缅甸
下缅甸,facet of,缅甸
左,opposite of,上下
BHT,has part,碳
金成,educated at,宾夕法尼亚大学
特立尼达和多巴哥,official language,英语
阿什哈巴德,sister city,雅典
Diesel,sport,篮球
特立尼达和多巴哥,continent,北美洲
Diesel,military branch,美国陆军
Arrow,country of origin,美国
特立尼达和多巴哥,located on terrain feature,加勒比地区
Arrow,original language of work,英语
CDA,instance of,政党
鸟,subclass of,生殖器
韭葱,subclass of,蔬菜
Arrow,original language of work,西班牙语
特立尼达和多巴哥,deepest point,加勒比海
附子,taxon rank,种
巴克拉,sex or gender,男性
鬃毛,taxon rank,种
郁金香,taxon rank,属
Arrow,original language of work,俄语
smoke,subclass of,气溶胶
Soto,instance of,姓氏
附子,parent taxon,乌头属
巴克拉,country of citizenship,英国
Arrow,original language of work,汉语
以色列,diplomatic relation,美国
smoke,facet of,视觉系统
Soto,language of work or name,西班牙语
CDA,headquarters location,海牙
郁金香,has fruit type,蒴果
以色列,diplomatic relation,俄罗斯
Soto,writing system,拉丁文字
鸟,has part,阴茎头
以色列,diplomatic relation,加拿大
Soto,different from,Soto
巴克拉,place of death,爱丁堡
以色列,diplomatic relation,中华人民共和国
鸟,has part,尿道
巴克拉,occupation,物理学家
以色列,diplomatic relation,埃及
鸟,has part,包皮
郁金香,has part,花
以色列,diplomatic relation,伊朗
smoke,has part,气体
鸟,has part,血管
郁金香,has part,鳞茎
特立尼达和多巴哥,diplomatic relation,澳大利亚
以色列,diplomatic relation,约旦
特立尼达和多巴哥,diplomatic relation,智利
以色列,diplomatic relation,印度
特立尼达和多巴哥,diplomatic relation,英国
以色列,diplomatic relation,日本
巴克拉,employer,剑桥大学
特立尼达和多巴哥,diplomatic relation,巴巴多斯
以色列,diplomatic relation,法国
特立尼达和多巴哥,diplomatic relation,古巴
以色列,diplomatic relation,捷克
巴克拉,employer,爱丁堡大学
特立尼达和多巴哥,diplomatic relation,法国
以色列,diplomatic relation,英国
特立尼达和多巴哥,diplomatic relation,格林纳达
以色列,diplomatic relation,希腊
特立尼达和多巴哥,diplomatic relation,牙买加
以色列,diplomatic relation,德国
冰架,subclass of,冰川
血清病,instance of,疾病
以色列,diplomatic relation,意大利
出水市,country,日本
宋应星,sex or gender,男性
特立尼达和多巴哥,diplomatic relation,美国
以色列,diplomatic relation,阿根廷
苯乙酸,instance of,化合物
鞘脂,subclass of,化学物质
出水市,located in the administrative territorial entity,鹿儿岛县
舞蹈,practiced by,舞者
宋应星,country of citizenship,中国
特立尼达和多巴哥,diplomatic relation,中华人民共和国
以色列,diplomatic relation,澳大利亚
Casey,writing system,拉丁文字
Isis,language of work or name,英语
宋应星,place of birth,宜春市
特立尼达和多巴哥,diplomatic relation,日本
以色列,diplomatic relation,土耳其
B5,instance of,基因
肯特,instance of,镇
苯乙酸,has part,氧
Casey,family name identical to this given name,Casey
宋应星,languages spoken written or signed,汉语
巴克拉,educated at,利物浦大学
特立尼达和多巴哥,diplomatic relation,俄罗斯
以色列,diplomatic relation,大韩民国
李继侗,sex or gender,男性
长生铁角蕨,taxon rank,种
Kangaroo,taxon rank,科
肯特,country,美国
苯乙酸,has part,碳
Casey,different from,Casey
巴克拉,educated at,剑桥大学
特立尼达和多巴哥,diplomatic relation,印度
以色列,diplomatic relation,菲律宾
李继侗,country of citizenship,中华人民共和国
B5,found in taxon,智人
肯特,located in the administrative territorial entity,金县
特立尼达和多巴哥,diplomatic relation,孟加拉国
李继侗,occupation,生物学家
MHC,country,美国
特立尼达和多巴哥,member of,联合国
以色列,diplomatic relation,埃塞俄比亚
特立尼达和多巴哥,member of,英联邦
以色列,diplomatic relation,新加坡
以色列,diplomatic relation,巴西
以色列,diplomatic relation,挪威
Kangaroo,Code of nomenclature,国际动物命名法规
以色列,diplomatic relation,乌克兰
以色列,diplomatic relation,白俄罗斯
以色列,diplomatic relation,阿塞拜疆
以色列,diplomatic relation,秘鲁
以色列,diplomatic relation,哥伦比亚
2050年,instance of,年
以色列,diplomatic relation,奥地利
铁青树科,taxon rank,科
徐京,sex or gender,男性
严复,sex or gender,男性
水文学,part of,生态学
Georgia,instance of,国家
以色列,diplomatic relation,卡塔尔
瓷漆,subclass of,涂料
渔具,subclass of,设备
西安府,instance of,府
卓,instance of,姓氏
固氮作用,part of,氮循环
同伴,canonization status,圣人
严复,country of citizenship,中国
水文学,part of,地质学
以色列,diplomatic relation,苏联
临沂站,country,中华人民共和国
严复,country of citizenship,清朝
水文学,part of,气象学
篌竹,taxon rank,种
以色列,diplomatic relation,缅甸
黑粉菌科,taxon rank,科
王冠,country,日本
江南大学,country,中华人民共和国
韶子,taxon rank,种
篌竹,parent taxon,刚竹属
严复,place of birth,福州市
Georgia,instance of,共和制
以色列,diplomatic relation,厄立特里亚
黑粉菌科,parent taxon,黑粉菌目
江南大学,located in the administrative territorial entity,无锡市
严复,place of death,福州市
Cutter,country of origin,美国
严复,languages spoken written or signed,汉语
Georgia,instance of,国家
特立尼达和多巴哥,language used,英语
以色列,diplomatic relation,立陶宛
Cutter,original language of work,英语
Georgia,part of,东欧
以色列,diplomatic relation,墨西哥
Georgia,part of,高加索
Georgia,part of,欧洲
以色列,diplomatic relation,塞尔维亚
以色列,diplomatic relation,马拉维
以色列,diplomatic relation,毛里塔尼亚
以色列,diplomatic relation,尼日尔
以色列,diplomatic relation,芬兰
Georgia,continent,欧洲
以色列,diplomatic relation,阿拉伯联合酋长国
Georgia,country,格鲁吉亚
Georgia,capital,第比利斯
以色列,diplomatic relation,安哥拉
以色列,diplomatic relation,智利
Madden,instance of,姓氏
五堡乡,country,中华人民共和国
以色列,diplomatic relation,乌拉圭
Madden,language of work or name,英语
竹柏科,taxon rank,科
郴州市,country,中华人民共和国
金牌,subclass of,奖励
Georgia,deepest point,黑海
F3,instance of,基因
nutrient,subclass of,化学物质
郁江,instance of,河流
Madden,writing system,拉丁文字
郴州市,located in the administrative territorial entity,湖南省
郁江,mouth of the watercourse,浔江
碎米荠,taxon rank,种
游蛇科,taxon rank,科
Madden,different from,Madden
竹柏科,parent taxon,松柏目
香云纱,country of origin,中华人民共和国
F3,found in taxon,智人
郁江,country,中华人民共和国
郁江,located in the administrative territorial entity,广西壮族自治区
以色列,diplomatic relation,纳米比亚
郴州市,contains administrative territorial entity,宜章县
Cutter,color,彩色
以色列,diplomatic relation,巴布亚新几内亚
以色列,diplomatic relation,马耳他
F3,ortholog,F3
游蛇科,Code of nomenclature,国际动物命名法规
特立尼达和多巴哥,driving side,左
以色列,diplomatic relation,瑞士
F3,ortholog,F3
钌,location of discovery,俄罗斯
以色列,diplomatic relation,巴拉圭
郴州市,contains administrative territorial entity,汝城县
以色列,diplomatic relation,乌干达
以色列,diplomatic relation,柬埔寨
以色列,diplomatic relation,海地
以色列,diplomatic relation,古巴
Georgia,diplomatic relation,意大利
以色列,diplomatic relation,尼加拉瓜
Georgia,diplomatic relation,德国
以色列,diplomatic relation,格鲁吉亚
唐县,instance of,县
Georgia,diplomatic relation,美国
以色列,diplomatic relation,阿尔及利亚
唐县,country,中华人民共和国
海韭菜,taxon rank,种
跳蚤,taxon rank,目
晴日,instance of,诗
肖竹芋,taxon rank,种
Les,writing system,拉丁文字
衣原体,taxon rank,门
Georgia,diplomatic relation,土耳其
以色列,diplomatic relation,叙利亚
北地郡,instance of,郡
美,instance of,概念
肖竹芋,parent taxon,肖竹芋属
Les,family name identical to this given name,Les
猬草,taxon rank,种
工程院,country,中华人民共和国
蛇床,taxon rank,种
唐县,located in the administrative territorial entity,保定市
晴日,genre,唐诗
Georgia,diplomatic relation,阿塞拜疆
以色列,member of,联合国
船,subclass of,vessel
晴日,country of origin,唐朝
Georgia,diplomatic relation,阿富汗
工程院,parent organization,中国科学院
晴日,language of work or name,文言文
Georgia,diplomatic relation,文莱
Georgia,diplomatic relation,日本
Georgia,diplomatic relation,印度
Georgia,diplomatic relation,伊朗
Georgia,diplomatic relation,以色列
Georgia,diplomatic relation,沙特阿拉伯
Georgia,diplomatic relation,澳大利亚
Georgia,diplomatic relation,奥地利
Georgia,diplomatic relation,阿尔巴尼亚
Georgia,diplomatic relation,阿尔及利亚
Georgia,diplomatic relation,安哥拉
数值,subclass of,字符
186年,instance of,年
格兰特,country,美国
Broom,sex or gender,男性
威力,sex or gender,男性
小米草,taxon rank,种
Georgia,diplomatic relation,安提瓜和巴布达
天统,instance of,年号
186年,follows,185年
Broom,country of citizenship,南非
威力,country of citizenship,英国
Georgia,diplomatic relation,阿拉伯联合酋长国
大蔓樱草,taxon rank,种
Laburnum,taxon rank,属
籽粒苋,taxon rank,种
金刚纂,taxon rank,种
笛鲷科,taxon rank,科
Broom,given name,罗伯特
Georgia,diplomatic relation,阿根廷
东乡县,instance of,县
氧化钠,instance of,化合物
花果山,country,中华人民共和国
泌阳县,instance of,县
Laburnum,parent taxon,蝶形花亚科
籽粒苋,parent taxon,苋属
数值,said to be the same as,digit
Georgia,diplomatic relation,新西兰
东乡县,country,中华人民共和国
氧化钠,has part,氧
泌阳县,country,中华人民共和国
孑孓,subclass of,鬼
北宋,part of,宋朝
Georgia,diplomatic relation,孟加拉国
氧化钠,has part,钠
俄勒冈州,country,美国
北宋,capital,汴梁
笛鲷科,Code of nomenclature,国际动物命名法规
Broom,languages spoken written or signed,英语
Georgia,diplomatic relation,巴哈马
俄勒冈州,capital,塞勒姆
Broom,occupation,人类学家
Georgia,diplomatic relation,巴林
俄勒冈州,located in the administrative territorial entity,美国
泌阳县,contains administrative territorial entity,羊册镇
Georgia,diplomatic relation,白俄罗斯
俄勒冈州,located in or next to body of water,太平洋
Broom,occupation,考古学家
Georgia,diplomatic relation,比利时
北宋,contains administrative territorial entity,京西路
Broom,occupation,医生
俄勒冈州,deepest point,太平洋
Georgia,diplomatic relation,巴西
北宋,contains administrative territorial entity,河北路
Georgia,diplomatic relation,保加利亚
Broom,field of work,古生物学
Georgia,diplomatic relation,加蓬
北宋,contains administrative territorial entity,陕西路
Georgia,diplomatic relation,圭亚那
以色列,contains administrative territorial entity,中央区
Georgia,diplomatic relation,冈比亚
以色列,contains administrative territorial entity,北部区
北宋,contains administrative territorial entity,两浙路
Georgia,diplomatic relation,危地马拉
以色列,contains administrative territorial entity,南部区
Georgia,diplomatic relation,几内亚
北宋,contains administrative territorial entity,淮南路
Georgia,diplomatic relation,格林纳达
Georgia,diplomatic relation,丹麦
紫荆,taxon rank,种
CAG,country,加拿大
Georgia,diplomatic relation,英国
达布逊湖,instance of,湖泊
氏神,instance of,神
科山,instance of,山
待机,instance of,模式
灭多威,instance of,化合物
北宋,contains administrative territorial entity,江南路
达布逊湖,country,中华人民共和国
狗肝菜,taxon rank,种
科山,country,俄罗斯
待机,part of,操作系统
马迹山,country,中华人民共和国
白唇鹿,taxon rank,种
北宋,contains administrative territorial entity,江南东路
PGD,instance of,基因
尿苷三磷酸,instance of,化合物
桓,instance of,姓氏
资本主义,instance of,经济体系
Sven,writing system,拉丁文字
Georgia,diplomatic relation,埃及
以色列,shares border with,叙利亚
尿苷三磷酸,has part,氮
舌鳎,taxon rank,科
宜昌橙,taxon rank,种
李景均,sex or gender,男性
Georgia,diplomatic relation,埃塞俄比亚
以色列,shares border with,约旦
PGD,found in taxon,智人
尿苷三磷酸,has part,氧
宜昌橙,parent taxon,柑橘属
李景均,country of citizenship,美国
Georgia,diplomatic relation,厄瓜多尔
以色列,shares border with,埃及
尿苷三磷酸,has part,碳
宜昌橙,has fruit type,柑果
Sven,different from,Sven
Georgia,diplomatic relation,赤道几内亚
以色列,shares border with,黎巴嫩
李景均,family name,李
北宋,contains administrative territorial entity,福建路
Georgia,diplomatic relation,萨尔瓦多
李景均,occupation,数学家
Georgia,diplomatic relation,伊拉克
李景均,occupation,生物学家
Georgia,diplomatic relation,厄立特里亚
Georgia,diplomatic relation,西班牙
Georgia,diplomatic relation,爱沙尼亚
北宋,contains administrative territorial entity,成都府路
Georgia,diplomatic relation,越南
北宋,contains administrative territorial entity,夔州路
Georgia,diplomatic relation,赞比亚
以色列,official symbol,戴胜
北宋,contains administrative territorial entity,广南西路
二四,instance of,自然数
1314年,instance of,年
动物科学,part of,农学
Georgia,diplomatic relation,牙买加
黄果冷杉,taxon rank,种
鼻蛭,taxon rank,种
鳓鱼,taxon rank,种
动物科学,part of,生物学
中药大辞典,country of origin,中华人民共和国
流年,instance of,诗
种群生物学,subclass of,生物学
主持人,instance of,专业
黄果冷杉,parent taxon,冷杉属
1314年,follows,1313年
Georgia,diplomatic relation,印度尼西亚
磷虾,taxon rank,目
流年,genre,唐诗
球面度,based on,米
1314年,followed by,1315年
Georgia,diplomatic relation,约旦
五亭桥,country,中华人民共和国
乙胺,instance of,化合物
流年,country of origin,唐朝
Spartan,developer,微软
爪哇,influenced by,C语言
银叶树属,taxon rank,属
长臀鲃,taxon rank,种
流年,language of work or name,文言文
爪哇,influenced by,Ada
Georgia,diplomatic relation,冰岛
Georgia,diplomatic relation,佛得角
Georgia,diplomatic relation,柬埔寨
charge,opposite of,field
爪哇,mascot,Duke
Georgia,diplomatic relation,加拿大
Georgia,diplomatic relation,喀麦隆
